,Title
1751,Heaven's Burning (1997)
1752,Mercury Rising (1998)
1753,"Spanish Prisoner, The (1997)"
1754,City of Angels (1998)
1755,"Last Days of Disco, The (1998)"
1756,"Odd Couple II, The (1998)"
1757,My Giant (1998)
1758,He Got Game (1998)
1759,"Gingerbread Man, The (1998)"
1760,Illtown (1996)
1761,Slappy and the Stinkers (1998)
1762,Live Flesh (Carne trémula) (1997)
1763,Zero Effect (1998)
1764,Nil By Mouth (1997)
1765,"Borrowers, The (1997)"
1766,Prince Valiant (1997)
1767,"I Love You, Don't Touch Me! (1998)"
1768,Leather Jacket Love Story (1997)
1769,Love Walked In (1998)
1770,"Alan Smithee Film: Burn Hollywood Burn, An (1997)"
1771,Kissing a Fool (1998)
1772,Krippendorf's Tribe (1998)
1773,Kurt & Courtney (1998)
1774,"Real Blonde, The (1997)"
1775,Mr. Nice Guy (Yat goh ho yan) (1997)
1776,Taste of Cherry (Ta'm e guilass) (1997)
1777,Character (Karakter) (1997)
1778,Junk Mail (Budbringeren) (1997)
1779,Species II (1998)
1780,Major League: Back to the Minors (1998)
1781,Sour Grapes (1998)
1782,Wild Man Blues (1997)
1783,"Big Hit, The (1998)"
1784,Tarzan and the Lost City (1998)
1785,Black Dog (1998)
1786,"Dancer, Texas Pop. 81 (1998)"
1787,"Friend of the Deceased, A (Priyatel pokonika) (1997)"
1788,Go Now (1995)
1789,"Misérables, Les (1998)"
1790,Still Breathing (1997)
1791,Clockwatchers (1997)
1792,Deep Impact (1998)
1793,Little Men (1998)
1794,Woo (1998)
1795,"Hanging Garden, The (1997)"
1796,Lawn Dogs (1997)
1797,Quest for Camelot (1998)
1798,Godzilla (1998)
1799,Bulworth (1998)
1800,Fear and Loathing in Las Vegas (1998)
1801,"Opposite of Sex, The (1998)"
1802,I Got the Hook Up (1998)
1803,Almost Heroes (1998)
1804,Hope Floats (1998)
1805,Insomnia (1997)
1806,Little Boy Blue (1997)
1807,"Ugly, The (1997)"
1808,"Perfect Murder, A (1998)"
1809,Beyond Silence (Jenseits der Stille) (1996)
1810,Six Days Seven Nights (1998)
1811,Can't Hardly Wait (1998)
1812,Cousin Bette (1998)
1813,High Art (1998)
1814,"Land Girls, The (1998)"
1815,Passion in the Desert (1998)
1816,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)"
1817,Dear Jesse (1997)
1818,Dream for an Insomniac (1996)
1819,Hav Plenty (1997)
1820,Henry Fool (1997)
1821,Marie from the Bay of Angels (Marie Baie Des Anges) (1997)
1822,Mr. Jealousy (1997)
1823,Mulan (1998)
1824,Resurrection Man (1998)
1825,"X-Files: Fight the Future, The (1998)"
1826,I Went Down (1997)
1827,Dr. Dolittle (1998)
1828,Out of Sight (1998)
1829,Picnic at Hanging Rock (1975)
1830,Smoke Signals (1998)
1831,Voyage to the Beginning of the World (Viagem ao Princípio do Mundo) (1997)
1832,Buffalo '66 (a.k.a. Buffalo 66) (1998)
1833,Armageddon (1998)
1834,Lethal Weapon 4 (1998)
1835,Madeline (1998)
1836,Small Soldiers (1998)
1837,Pi (1998)
1838,Whatever (1998)
1839,There's Something About Mary (1998)
1840,Plan 9 from Outer Space (1959)
1841,Wings (1927)
1842,"Broadway Melody, The (1929)"
1843,All Quiet on the Western Front (1930)
1844,Cimarron (1931)
1845,Grand Hotel (1932)
1846,Cavalcade (1933)
1847,Mutiny on the Bounty (1935)
1848,"Great Ziegfeld, The (1936)"
1849,"Life of Emile Zola, The (1937)"
1850,You Can't Take It with You (1938)
1851,How Green Was My Valley (1941)
1852,Mrs. Miniver (1942)
1853,Going My Way (1944)
1854,"Lost Weekend, The (1945)"
1855,"Best Years of Our Lives, The (1946)"
1856,Gentleman's Agreement (1947)
1857,Hamlet (1948)
1858,All the King's Men (1949)
1859,"Greatest Show on Earth, The (1952)"
1860,From Here to Eternity (1953)
1861,On the Waterfront (1954)
1862,Marty (1955)
1863,West Side Story (1961)
1864,Tom Jones (1963)
1865,"Man for All Seasons, A (1966)"
1866,In the Heat of the Night (1967)
1867,Oliver! (1968)
1868,Midnight Cowboy (1969)
1869,"French Connection, The (1971)"
1870,Rocky (1976)
1871,Kramer vs. Kramer (1979)
1872,Ordinary People (1980)
1873,Chariots of Fire (1981)
1874,Terms of Endearment (1983)
1875,Out of Africa (1985)
1876,"Last Emperor, The (1987)"
1877,Rain Man (1988)
1878,Driving Miss Daisy (1989)
1879,Take the Money and Run (1969)
1880,Klute (1971)
1881,Repo Man (1984)
1882,Metropolitan (1990)
1883,Labyrinth (1986)
1884,"Breakfast Club, The (1985)"
1885,"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)"
1886,"Nightmare on Elm Street 3: Dream Warriors, A (1987)"
1887,"Nightmare on Elm Street 4: The Dream Master, A (1988)"
1888,"Nightmare on Elm Street 5: The Dream Child, A (1989)"
1889,"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)"
1890,Friday the 13th (1980)
1891,Friday the 13th Part 2 (1981)
1892,Friday the 13th Part 3: 3D (1982)
1893,Friday the 13th Part IV: The Final Chapter (1984)
1894,Friday the 13th Part V: A New Beginning (1985)
1895,Friday the 13th Part VI: Jason Lives (1986)
1896,Friday the 13th Part VII: The New Blood (1988)
1897,Friday the 13th Part VIII: Jason Takes Manhattan (1989)
1898,Halloween (1978)
1899,Halloween II (1981)
1900,Halloween III: Season of the Witch (1982)
1901,Halloween 4: The Return of Michael Myers (1988)
1902,Halloween 5: The Revenge of Michael Myers (1989)
1903,Prom Night (1980)
1904,Hello Mary Lou: Prom Night II (1987)
1905,Prom Night III: The Last Kiss (1989)
1906,Prom Night IV: Deliver Us From Evil (1992)
1907,Child's Play (1988)
1908,Child's Play 2 (1990)
1909,Child's Play 3 (1991)
1910,Poltergeist (1982)
1911,Poltergeist II: The Other Side (1986)
1912,Poltergeist III (1988)
1913,"Exorcist, The (1973)"
1914,Exorcist II: The Heretic (1977)
1915,"Exorcist III, The (1990)"
1916,Lethal Weapon (1987)
1917,Lethal Weapon 2 (1989)
1918,Lethal Weapon 3 (1992)
1919,Gremlins (1984)
1920,Gremlins 2: The New Batch (1990)
1921,"Goonies, The (1985)"
1922,"Mask of Zorro, The (1998)"
1923,Polish Wedding (1998)
1924,"This World, Then the Fireworks (1997)"
1925,Soylent Green (1973)
1926,Metropolis (1927)
1927,Back to the Future Part II (1989)
1928,Back to the Future Part III (1990)
1929,"Poseidon Adventure, The (1972)"
1930,Freaky Friday (1977)
1931,"Absent-Minded Professor, The (1961)"
1932,"Apple Dumpling Gang Rides Again, The (1979)"
1933,Babes in Toyland (1961)
1934,Bambi (1942)
1935,Seven Samurai (Shichinin no samurai) (1954)
1936,Dangerous Liaisons (1988)
1937,Dune (1984)
1938,"Last Temptation of Christ, The (1988)"
1939,"Godfather: Part III, The (1990)"
1940,"Rapture, The (1991)"
1941,Lolita (1997)
1942,Disturbing Behavior (1998)
1943,Jane Austen's Mafia! (1998)
1944,Saving Private Ryan (1998)
1945,Billy's Hollywood Screen Kiss (1997)
1946,East Palace West Palace (Dong gong xi gong) (1997)
1947,"Million Dollar Duck, The (a.k.a. $1,000,000 Duck) (1971)"
1948,"Barefoot Executive, The (1971)"
1949,"Black Cauldron, The (1985)"
1950,"Black Hole, The (1979)"
1951,Blackbeard's Ghost (1968)
1952,Blank Check (1994)
1953,Candleshoe (1977)
1954,"Cat from Outer Space, The (1978)"
1955,Cheetah (1989)
1956,"Computer Wore Tennis Shoes, The (1969)"
1957,Condorman (1981)
1958,D2: The Mighty Ducks (1994)
1959,Darby O'Gill and the Little People (1959)
1960,"Devil and Max Devlin, The (1981)"
1961,"Far Off Place, A (1993)"
1962,Flight of the Navigator (1986)
1963,"Gnome-Mobile, The (1967)"
1964,"Great Mouse Detective, The (1986)"
1965,"Happiest Millionaire, The (1967)"
1966,Herbie Goes Bananas (1980)
1967,Herbie Goes to Monte Carlo (1977)
1968,Hocus Pocus (1993)
1969,"Honey, I Blew Up the Kid (1992)"
1970,"Honey, I Shrunk the Kids (1989)"
1971,Hot Lead and Cold Feet (1978)
1972,In Search of the Castaways (1962)
1973,"Incredible Journey, The (1963)"
1974,"Negotiator, The (1998)"
1975,"Parent Trap, The (1998)"
1976,BASEketball (1998)
1977,Full Tilt Boogie (1997)
1978,"Governess, The (1998)"
1979,"Seventh Heaven (Septième ciel, Le) (1997)"
1980,Roger & Me (1989)
1981,"Purple Rose of Cairo, The (1985)"
1982,Out of the Past (1947)
1983,Doctor Zhivago (1965)
1984,Fanny and Alexander (Fanny och Alexander) (1982)
1985,"Trip to Bountiful, The (1985)"
1986,Tender Mercies (1983)
1987,And the Band Played On (1993)
1988,"'burbs, The (1989)"
1989,Fandango (1985)
1990,"Night Porter, The (Portiere di notte, Il) (1974)"
1991,Mephisto (1981)
1992,Blue Velvet (1986)
1993,"Journey of Natty Gann, The (1985)"
1994,"Jungle Book, The (1967)"
1995,Kidnapped (1960)
1996,Lady and the Tramp (1955)
1997,"Little Mermaid, The (1989)"
1998,"Mighty Ducks, The (1992)"
1999,"Muppet Christmas Carol, The (1992)"
2000,Newsies (1992)
2001,101 Dalmatians (One Hundred and One Dalmatians) (1961)
2002,One Magic Christmas (1985)
2003,Peter Pan (1953)
2004,Popeye (1980)
2005,"Rescuers Down Under, The (1990)"
2006,"Rescuers, The (1977)"
2007,Return from Witch Mountain (1978)
2008,"Return of Jafar, The (1994)"
2009,Return to Oz (1985)
2010,"Rocketeer, The (1991)"
2011,"Shaggy D.A., The (1976)"
2012,Sleeping Beauty (1959)
2013,Something Wicked This Way Comes (1983)
2014,Son of Flubber (1963)
2015,Song of the South (1946)
2016,Splash (1984)
2017,Squanto: A Warrior's Tale (1994)
2018,Steamboat Willie (1928)
2019,Tall Tale (1995)
2020,Tex (1982)
2021,Tron (1982)
2022,Swing Kids (1993)
2023,Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998)
2024,L.A. Story (1991)
2025,"Jerk, The (1979)"
2026,Dead Men Don't Wear Plaid (1982)
2027,"Man with Two Brains, The (1983)"
2028,Grand Canyon (1991)
2029,Graveyard Shift (Stephen King's Graveyard Shift) (1990)
2030,"Outsiders, The (1983)"
2031,Indiana Jones and the Temple of Doom (1984)
2032,"Lord of the Rings, The (1978)"
2033,1984 (Nineteen Eighty-Four) (1984)
2034,"Dead Zone, The (1983)"
2035,Maximum Overdrive (1986)
2036,Needful Things (1993)
2037,Cujo (1983)
2038,Children of the Corn (1984)
2039,All Dogs Go to Heaven (1989)
2040,"Addams Family, The (1991)"
2041,Ever After: A Cinderella Story (1998)
2042,Snake Eyes (1998)
2043,"First Love, Last Rites (1997)"
2044,Safe Men (1998)
2045,"Saltmen of Tibet, The (Salzmänner von Tibet, Die) (1997)"
2046,Atlantic City (1980)
2047,Autumn Sonata (Höstsonaten) (1978)
2048,Who's Afraid of Virginia Woolf? (1966)
2049,Adventures in Babysitting (1987)
2050,Weird Science (1985)
2051,Doctor Dolittle (1967)
2052,"Nutty Professor, The (1963)"
2053,Charlotte's Web (1973)
2054,Watership Down (1978)
2055,"Secret of NIMH, The (1982)"
2056,"Dark Crystal, The (1982)"
2057,"American Tail, An (1986)"
2058,"American Tail: Fievel Goes West, An (1991)"
2059,Legend (1985)
2060,Sixteen Candles (1984)
2061,Pretty in Pink (1986)
2062,St. Elmo's Fire (1985)
2063,"Clan of the Cave Bear, The (1986)"
2064,House (1986)
2065,House II: The Second Story (1987)
2066,"Gods Must Be Crazy, The (1980)"
2067,"Gods Must Be Crazy II, The (1989)"
2068,Air Bud: Golden Receiver (1998)
2069,"Avengers, The (1998)"
2070,How Stella Got Her Groove Back (1998)
2071,"Slums of Beverly Hills, The (1998)"
2072,"Best Man, The (Testimone dello sposo, Il) (1998)"
2073,"Chambermaid on the Titanic, The (Femme de chambre du Titanic, La) (1998)"
2074,"Henry: Portrait of a Serial Killer, Part 2 (1998)"
2075,Henry: Portrait of a Serial Killer (1986)
2076,Rosemary's Baby (1968)
2077,"NeverEnding Story, The (1984)"
2078,"NeverEnding Story II: The Next Chapter, The (1990)"
2079,Attack of the Killer Tomatoes! (1978)
2080,Surf Nazis Must Die (1987)
2081,Your Friends and Neighbors (1998)
2082,Return to Paradise (1998)
2083,Blade (1998)
2084,Dance with Me (1998)
2085,Dead Man on Campus (1998)
2086,Wrongfully Accused (1998)
2087,Next Stop Wonderland (1998)
2088,"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)"
2089,"Navigator: A Mediaeval Odyssey, The (1988)"
2090,Beetlejuice (1988)
2091,Déjà Vu (1997)
2092,Rope (1948)
2093,Family Plot (1976)
2094,Frenzy (1972)
2095,Topaz (1969)
2096,Torn Curtain (1966)
2097,Marnie (1964)
2098,"Wrong Man, The (1956)"
2099,"Man Who Knew Too Much, The (1956)"
2100,"Trouble with Harry, The (1955)"
2101,I Confess (1953)
2102,Strangers on a Train (1951)
2103,Stage Fright (1950)
2104,54 (1998)
2105,I Married A Strange Person! (1997)
2106,Why Do Fools Fall In Love? (1998)
2107,"Merry War, A (1997)"
2108,See the Sea (1997)
2109,Willow (1988)
2110,"Untouchables, The (1987)"
2111,Dirty Work (1998)
2112,Knock Off (1998)
2113,Firelight (1997)
2114,Modulations (1998)
2115,Phoenix (1998)
2116,Under Capricorn (1949)
2117,"Paradine Case, The (1947)"
2118,Lifeboat (1944)
2119,Shadow of a Doubt (1943)
2120,Saboteur (1942)
2121,Mr. & Mrs. Smith (1941)
2122,Suspicion (1941)
2123,Jamaica Inn (1939)
2124,"Lady Vanishes, The (1938)"
2125,Young and Innocent (1937)
2126,Sabotage (1936)
2127,Secret Agent (1936)
2128,"Man Who Knew Too Much, The (1934)"
2129,Waltzes from Vienna (1933)
2130,Number Seventeen (a.k.a. Number 17) (1932)
2131,Rich and Strange (1931)
2132,"Skin Game, The (1931)"
2133,Elstree Calling (1930)
2134,Juno and the Paycock (1930)
2135,Murder! (1930)
2136,"Manxman, The (1929)"
2137,Blackmail (1929)
2138,Champagne (1928)
2139,"Farmer's Wife, The (1928)"
2140,Downhill (1927)
2141,Easy Virtue (1928)
2142,"Ring, The (1927)"
2143,"Lodger: A Story of the London Fog, The (1927)"
2144,"Pleasure Garden, The (1925)"
2145,Always Tell Your Wife (1914)
2146,Rounders (1998)
2147,Cube (1997)
2148,Digging to China (1998)
2149,Let's Talk About Sex (1998)
2150,One Man's Hero (1999)
2151,Simon Birch (1998)
2152,Without Limits (1998)
2153,Seven Beauties (Pasqualino Settebellezze) (1976)
2154,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975)
2155,My Bodyguard (1980)
2156,Class (1983)
2157,"Grandview, U.S.A. (1984)"
2158,Broadcast News (1987)
2159,"Allnighter, The (1987)"
2160,Working Girl (1988)
2161,Stars and Bars (1988)
2162,Married to the Mob (1988)
2163,Say Anything... (1989)
2164,My Blue Heaven (1990)
2165,Men Don't Leave (1990)
2166,"Cabinet of Dr. Ramirez, The (1991)"
2167,Hero (1992)
2168,Toys (1992)
2169,Choices (1981)
2170,Young Doctors in Love (1982)
2171,Parasite (1982)
2172,No Small Affair (1984)
2173,"Master, The (1984)"
2174,Blame It on Rio (1984)
2175,Wisdom (1986)
2176,One Crazy Summer (1986)
2177,About Last Night... (1986)
2178,"Seventh Sign, The (1988)"
2179,We're No Angels (1989)
2180,Nothing But Trouble (1991)
2181,"Butcher's Wife, The (1991)"
2182,Mortal Thoughts (1991)
2183,"Few Good Men, A (1992)"
2184,Indecent Proposal (1993)
2185,"Century of Cinema, A (1994)"
2186,Permanent Midnight (1998)
2187,One True Thing (1998)
2188,Rush Hour (1998)
2189,Lilian's Story (1995)
2190,Six-String Samurai (1998)
2191,"Soldier's Daughter Never Cries, A (1998)"
2192,Somewhere in the City (1998)
2193,Ronin (1998)
2194,Urban Legend (1998)
2195,Clay Pigeons (1998)
2196,Monument Ave. (1998)
2197,Pecker (1998)
2198,"Sheltering Sky, The (1990)"
2199,Bandit Queen (1994)
2200,If.... (1968)
2201,"Fiendish Plot of Dr. Fu Manchu, The (1980)"
2202,Them! (1954)
2203,"Thing, The (1982)"
2204,"Player, The (1992)"
2205,Stardust Memories (1980)
2206,Edward Scissorhands (1990)
2207,Overnight Delivery (1998)
2208,Shadrach (1998)
2209,Antz (1998)
2210,"Impostors, The (1998)"
2211,"Night at the Roxbury, A (1998)"
2212,What Dreams May Come (1998)
2213,Strangeland (1998)
2214,"Battle of the Sexes, The (1959)"
2215,"Producers, The (1968)"
2216,History of the World: Part I (1981)
2217,My Cousin Vinny (1992)
2218,Nashville (1975)
2219,Love Is the Devil (1998)
2220,Slam (1998)
2221,Holy Man (1998)
2222,One Tough Cop (1998)
2223,Detroit 9000 (1973)
2224,"Inheritors, The (Siebtelbauern, Die) (1998)"
2225,"Mighty, The (1998)"
2226,2010: The Year We Make Contact (1984)
2227,Children of a Lesser God (1986)
2228,"Elephant Man, The (1980)"
2229,Beloved (1998)
2230,Bride of Chucky (Child's Play 4) (1998)
2231,Practical Magic (1998)
2232,"Alarmist, The (a.k.a. Life During Wartime) (1997)"
2233,Happiness (1998)
2234,Reach the Rock (1998)
2235,Apt Pupil (1998)
2236,Pleasantville (1998)
2237,Soldier (1998)
2238,"Cruise, The (1998)"
2239,Life Is Beautiful (La Vita è bella) (1997)
2240,Orgazmo (1997)
2241,Shattered Image (1998)
2242,Tales from the Darkside: The Movie (1990)
2243,Vampires (1998)
2244,American History X (1998)
2245,Hands on a Hard Body (1996)
2246,Living Out Loud (1998)
2247,Belly (1998)
2248,Gods and Monsters (1998)
2249,"Siege, The (1998)"
2250,"Waterboy, The (1998)"
2251,Elizabeth (1998)
2252,Velvet Goldmine (1998)
2253,I Still Know What You Did Last Summer (1998)
2254,I'll Be Home For Christmas (1998)
2255,Meet Joe Black (1998)
2256,Dancing at Lughnasa (1998)
2257,Hard Core Logo (1996)
2258,"Naked Man, The (1998)"
2259,Runaway Train (1985)
2260,Desert Bloom (1986)
2261,"Stepford Wives, The (1975)"
2262,"Pope of Greenwich Village, The (1984)"
2263,Sid and Nancy (1986)
2264,Mona Lisa (1986)
2265,Heart Condition (1990)
2266,"Nights of Cabiria (Notti di Cabiria, Le) (1957)"
2267,"Big Chill, The (1983)"
2268,Enemy of the State (1998)
2269,"Rugrats Movie, The (1998)"
2270,"Bug's Life, A (1998)"
2271,Celebrity (1998)
2272,Central Station (Central do Brasil) (1998)
2273,Savior (1998)
2274,Waking Ned Devine (a.k.a. Waking Ned) (1998)
2275,"Celebration, The (Festen) (1998)"
2276,Pink Flamingos (1972)
2277,Glen or Glenda (1953)
2278,Godzilla (Gojira) (1954)
2279,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)"
2280,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962)
2281,King Kong (1933)
2282,King Kong (1976)
2283,King Kong Lives (1986)
2284,Desperately Seeking Susan (1985)
2285,"Emerald Forest, The (1985)"
2286,Fletch (1985)
2287,Fletch Lives (1989)
2288,Red Sonja (1985)
2289,Gung Ho (1986)
2290,"Money Pit, The (1986)"
2291,"View to a Kill, A (1985)"
2292,Lifeforce (1985)
2293,Police Academy (1984)
2294,Police Academy 2: Their First Assignment (1985)
2295,Police Academy 3: Back in Training (1986)
2296,Police Academy 4: Citizens on Patrol (1987)
2297,Police Academy 5: Assignment: Miami Beach (1988)
2298,Police Academy 6: City Under Siege (1989)
2299,Babe: Pig in the City (1998)
2300,Home Fries (1998)
2301,Jerry Springer: Ringmaster (1998)
2302,Very Bad Things (1998)
2303,Steam: The Turkish Bath (Hamam) (1997)
2304,Psycho (1998)
2305,Little Voice (1998)
2306,"Simple Plan, A (1998)"
2307,Jack Frost (1998)
2308,Star Trek: Insurrection (1998)
2309,"Prince of Egypt, The (1998)"
2310,Rushmore (1998)
2311,Shakespeare in Love (1998)
2312,Mass Appeal (1984)
2313,Miracle on 34th Street (1947)
2314,Santa Claus: The Movie (1985)
2315,Prancer (1989)
2316,Pale Rider (1985)
2317,Rambo: First Blood Part II (1985)
2318,First Blood (Rambo: First Blood) (1982)
2319,Rambo III (1988)
2320,"Jewel of the Nile, The (1985)"
2321,Romancing the Stone (1984)
2322,Cocoon (1985)
2323,Cocoon: The Return (1988)
2324,Rocky II (1979)
2325,Rocky III (1982)
2326,Rocky IV (1985)
2327,Rocky V (1990)
2328,Clue (1985)
2329,Young Sherlock Holmes (1985)
2330,Violets Are Blue... (1986)
2331,Back to School (1986)
2332,Heartburn (1986)
2333,Nothing in Common (1986)
2334,Extremities (1986)
2335,"Karate Kid, The (1984)"
2336,"Karate Kid, Part II, The (1986)"
2337,"Karate Kid, Part III, The (1989)"
2338,Christmas Vacation (National Lampoon's Christmas Vacation) (1989)
2339,You've Got Mail (1998)
2340,"General, The (1998)"
2341,"Theory of Flight, The (1998)"
2342,"Thin Red Line, The (1998)"
2343,"Faculty, The (1998)"
2344,Mighty Joe Young (1998)
2345,Mighty Joe Young (1949)
2346,Patch Adams (1998)
2347,Stepmom (1998)
2348,"Civil Action, A (1998)"
2349,Down in the Delta (1998)
2350,Hurlyburly (1998)
2351,Tea with Mussolini (1999)
2352,Wilde (1997)
2353,Outside Ozona (1998)
2354,Affliction (1997)
2355,Another Day in Paradise (1998)
2356,"Hi-Lo Country, The (1998)"
2357,Hilary and Jackie (1998)
2358,Playing by Heart (1998)
2359,24 7: Twenty Four Seven (1997)
2360,At First Sight (1999)
2361,In Dreams (1999)
2362,Varsity Blues (1999)
2363,Virus (1999)
2364,"Garbage Pail Kids Movie, The (1987)"
2365,Howard the Duck (1986)
2366,"Gate, The (1987)"
2367,"Gate II: Trespassers, The (1990)"
2368,"Boy Who Could Fly, The (1986)"
2369,"Fly, The (1958)"
2370,"Fly, The (1986)"
2371,"Fly II, The (1989)"
2372,Running Scared (1986)
2373,Armed and Dangerous (1986)
2374,"Texas Chainsaw Massacre, The (1974)"
2375,"Texas Chainsaw Massacre 2, The (1986)"
2376,Leatherface: Texas Chainsaw Massacre III (1990)
2377,Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994)
2378,Ruthless People (1986)
2379,Trick or Treat (1986)
2380,Deadly Friend (1986)
2381,Belizaire the Cajun (1986)
2382,"Name of the Rose, The (Name der Rose, Der) (1986)"
2383,Jumpin' Jack Flash (1986)
2384,Peggy Sue Got Married (1986)
2385,Crocodile Dundee (1986)
2386,Crocodile Dundee II (1988)
2387,Tough Guys (1986)
2388,Soul Man (1986)
2389,"Color of Money, The (1986)"
2390,52 Pick-Up (1986)
2391,Heartbreak Ridge (1986)
2392,Firewalker (1986)
2393,¡Three Amigos! (1986)
2394,Gloria (1999)
2395,Dry Cleaning (Nettoyage à sec) (1997)
2396,My Name Is Joe (1998)
2397,Still Crazy (1998)
2398,"Day of the Beast, The (Día de la Bestia, El) (1995)"
2399,Tinseltown (1997)
2400,She's All That (1999)
2401,"24 Hour Woman, The (1998)"
2402,"Blood, Guts, Bullets and Octane (1998)"
2403,Peeping Tom (1960)
2404,Spanish Fly (1998)
2405,Payback (1999)
2406,Simply Irresistible (1999)
2407,20 Dates (1998)
2408,"Harmonists, The (1997)"
2409,"Last Days, The (1998)"
2410,"Fantastic Planet, The (Planète sauvage, La) (1973)"
2411,Blast from the Past (1999)
2412,Message in a Bottle (1999)
2413,My Favorite Martian (1999)
2414,God Said 'Ha!' (1998)
2415,Jawbreaker (1999)
2416,October Sky (1999)
2417,Office Space (1999)
2418,"Apple, The (Sib) (1998)"
2419,200 Cigarettes (1999)
2420,8MM (1999)
2421,"Other Sister, The (1999)"
2422,Breakfast of Champions (1999)
2423,"Breaks, The (1999)"
2424,Eight Days a Week (1997)
2425,Just the Ticket (1999)
2426,"Long Goodbye, The (1973)"
2427,"Ballad of Narayama, The (Narayama bushiko) (1983)"
2428,Pet Sematary (1989)
2429,Pet Sematary II (1992)
2430,Children of the Corn II: The Final Sacrifice (1993)
2431,Children of the Corn III (1994)
2432,Christine (1983)
2433,Night Shift (1982)
2434,House on Haunted Hill (1959)
2435,Airport (1970)
2436,Airport 1975 (1974)
2437,Airport '77 (1977)
2438,Rollercoaster (1977)
2439,"Towering Inferno, The (1974)"
2440,Alligator (1980)
2441,Meteor (1979)
2442,Westworld (1973)
2443,Logan's Run (1976)
2444,Planet of the Apes (1968)
2445,Beneath the Planet of the Apes (1970)
2446,Battle for the Planet of the Apes (1973)
2447,Conquest of the Planet of the Apes (1972)
2448,Escape from the Planet of the Apes (1971)
2449,Avalanche (1978)
2450,Earthquake (1974)
2451,"Concorde: Airport '79, The (1979)"
2452,Beyond the Poseidon Adventure (1979)
2453,Dancemaker (1998)
2454,Analyze This (1999)
2455,"Corruptor, The (1999)"
2456,Cruel Intentions (1999)
2457,"Lock, Stock & Two Smoking Barrels (1998)"
2458,Six Ways to Sunday (1997)
2459,"School of Flesh, The (École de la chair, L') (1998)"
2460,Relax... It's Just Sex (1998)
2461,"Deep End of the Ocean, The (1999)"
2462,Harvest (1998)
2463,"Rage: Carrie 2, The (1999)"
2464,Wing Commander (1999)
2465,"Haunting, The (1963)"
2466,Dead Ringers (1988)
2467,My Boyfriend's Back (1993)
2468,Village of the Damned (1960)
2469,Children of the Damned (1963)
2470,Baby Geniuses (1999)
2471,Telling You (1998)
2472,I Stand Alone (Seul contre tous) (1998)
2473,Forces of Nature (1999)
2474,"King and I, The (1999)"
2475,Ravenous (1999)
2476,True Crime (1999)
2477,Bandits (1997)
2478,Dangerous Beauty (1998)
2479,"Empty Mirror, The (1996)"
2480,"King and I, The (1956)"
2481,Doug's 1st Movie (1999)
2482,EDtv (1999)
2483,"Mod Squad, The (1999)"
2484,Among Giants (1998)
2485,"Walk on the Moon, A (1999)"
2486,"Matrix, The (1999)"
2487,10 Things I Hate About You (1999)
2488,Tango (1998)
2489,"Out-of-Towners, The (1999)"
2490,"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)"
2491,"Love, etc. (1996)"
2492,Metroland (1997)
2493,"Sticky Fingers of Time, The (1997)"
2494,Following (1998)
2495,Go (1999)
2496,Never Been Kissed (1999)
2497,Twin Dragons (Shuang long hui) (1992)
2498,Cookie's Fortune (1999)
2499,Foolish (1999)
2500,"Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998)"
2501,Goodbye Lover (1999)
2502,Life (1999)
2503,Cloudland (1998)
2504,Friends & Lovers (1999)
2505,Hideous Kinky (1998)
2506,Jeanne and the Perfect Guy (Jeanne et le garçon formidable) (1998)
2507,"Joyriders, The (1999)"
2508,"Monster, The (Mostro, Il) (1994)"
2509,Open Your Eyes (Abre los ojos) (1997)
2510,Photographer (Fotoamator) (1998)
2511,SLC Punk! (1998)
2512,Lost & Found (1999)
2513,Pushing Tin (1999)
2514,Election (1999)
2515,eXistenZ (1999)
2516,"Little Bit of Soul, A (1998)"
2517,Mighty Peking Man (a.k.a. Goliathon) (Xing xing wang) (1977)
2518,Nô (1998)
2519,Let it Come Down: The Life of Paul Bowles (1998)
2520,Entrapment (1999)
2521,Idle Hands (1999)
2522,Get Real (1998)
2523,Heaven (1998)
2524,"King of Masks, The (Bian Lian) (1996)"
2525,Three Seasons (1999)
2526,"Winslow Boy, The (1999)"
2527,Mildred Pierce (1945)
2528,Night of the Comet (1984)
2529,Chopping Mall (a.k.a. Killbots) (1986)
2530,My Science Project (1985)
2531,Dick Tracy (1990)
2532,"Mummy, The (1999)"
2533,"Castle, The (1997)"
2534,Mascara (1999)
2535,This Is My Father (1998)
2536,Xiu Xiu: The Sent-Down Girl (Tian yu) (1998)
2537,William Shakespeare's A Midsummer Night's Dream (1999)
2538,Trippin' (1999)
2539,After Life (Wandafuru raifu) (1998)
