,Title,item_ids
12885570,"Jackal, The (1997)",1687
12889688,Anastasia (1997),1688
12892284,"Man Who Knew Too Little, The (1997)",1689
12894650,Alien: Resurrection (1997),1690
12899085,Alien Escape (1995),1692
12900749,Amistad (1997),1693
12909084,"Apostle, The (1997)",1694
12913332,Artemisia (1997),1695
12916810,Bent (1997),1696
12920079,Bang (1995),1697
12926501,"Boys, Les (1997)",1698
12929662,"Butcher Boy, The (1997)",1699
12934612,Deconstructing Harry (1997),1701
12935693,Flubber (1997),1702
12939485,For Richer or Poorer (1997),1703
12947356,Good Will Hunting (1997),1704
12948537,Guy (1997),1705
12953641,Tar (1996),1706
12954492,Home Alone 3 (1997),1707
12955817,Ill Gotten Gains (1997),1708
12958244,Legal Deceit (1997),1709
12969206,Man of Her Dreams (a.k.a. The Fiancé) (1997),1710
12970673,Midnight in the Garden of Good and Evil (1997),1711
12972016,Mouse Hunt (1997),1713
12976329,Never Met Picasso (1996),1714
12981294,Office Killer (1997),1715
12986713,"Other Voices, Other Rooms (1995)",1716
12992818,Scream 2 (1997),1717
12996035,Stranger in the House (1997),1718
12997809,"Sweet Hereafter, The (1997)",1719
13006262,Time Tracers (1995),1720
13009411,Titanic (1997),1721
13022932,Tomorrow Never Dies (1997),1722
13028292,Twisted (1996),1723
13031008,Full Speed (À toute vitesse) (1996),1724
13044585,"Education of Little Tree, The (1997)",1725
13048227,"Postman, The (1997)",1726
13051658,"Horse Whisperer, The (1998)",1727
13055523,"Winter Guest, The (1997)",1728
13058954,Jackie Brown (1997),1729
13062445,Kundun (1997),1730
13064998,Mr. Magoo (1997),1731
13067118,"Big Lebowski, The (1998)",1732
13079093,Afterglow (1997),1733
13094019,My Life in Pink (Ma vie en rose) (1997),1734
13094613,Great Expectations (1998),1735
13096807,Vermin (1998),1738
13099117,3 Ninjas: High Noon On Mega Mountain (1998),1739
13101120,Men of Means (1999),1740
13107298,Caught Up (1998),1742
13112005,Arguing the World (1998),1743
13113024,Firestorm (1998),1744
13115777,Senseless (1998),1746
13118292,Wag the Dog (1997),1747
13119060,Dark City (1998),1748
13120218,"Leading Man, The (1996)",1749
13123316,Star Kid (1997),1750
13124845,Hard Rain (1998),1752
13125780,Half Baked (1998),1753
13128341,Fallen (1998),1754
13135649,Shooting Fish (1997),1755
13139238,"Prophecy II, The (1998)",1756
13144025,Fallen Angels (Duo luo tian shi) (1995),1757
13144774,"Four Days in September (O Que É Isso, Companheiro?) (1997)",1759
13145756,Spice World (1997),1760
13147655,Deep Rising (1998),1762
13153201,Tainted (1998),1764
13158604,"Letter From Death Row, A (1998)",1765
13162572,Music From Another Room (1998),1767
13163478,Mother and Son (Mat i syn) (1997),1768
13168046,"Replacement Killers, The (1998)",1769
13169391,B. Monkey (1998),1770
13174890,Night Flier (1997),1771
13177010,Blues Brothers 2000 (1998),1772
13178597,Tokyo Fist (Tokyo ken) (1995),1773
13184584,Mass Transit (1998),1774
13188002,Ride (1998),1776
13190855,"Wedding Singer, The (1998)",1777
13191773,Sphere (1998),1779
13193727,Ayn Rand: A Sense of Life (1997),1780
13196079,"Further Gesture, A (1996)",1781
13198689,Little City (1998),1782
13200614,Palmetto (1998),1783
13206993,As Good as It Gets (1997),1784
13208098,King of New York (1990),1785
13215797,"Paralyzing Fear: The Story of Polio in America, A (1998)",1787
13216972,Men with Guns (1997),1788
13217871,"Sadness of Sex, The (1995)",1789
13219466,Twilight (1998),1791
13224517,U.S. Marshals (1998),1792
13226732,Welcome to Woop-Woop (1997),1793
13228702,Love and Death on Long Island (1997),1794
13233002,"Callejón de los milagros, El (1995)",1795
13238452,In God's Hands (1998),1796
13243177,Everest (1998),1797
13244709,Hush (1998),1798
13246493,Suicide Kings (1997),1799
13257161,"Man in the Iron Mask, The (1998)",1801
13259070,"Newton Boys, The (1998)",1804
13263993,Wild Things (1998),1805
13265544,Paulie (1998),1806
13270012,"Cool, Dry Place, A (1998)",1807
13273190,Fireworks (Hana-bi) (1997),1809
13275761,Primary Colors (1998),1810
13279081,"Niagara, Niagara (1997)",1811
13279924,Wide Awake (1998),1812
13282080,"Price Above Rubies, A (1998)",1814
13282877,Eden (1997),1815
13292141,Two Girls and a Guy (1997),1816
13293515,No Looking Back (1998),1817
13294791,Storefront Hitchcock (1997),1819
13302829,"Proposition, The (1998)",1820
13304101,"Object of My Affection, The (1998)",1821
13309530,Meet the Deedles (1998),1822
13311937,Homegrown (1998),1824
13317673,"Player's Club, The (1998)",1825
13319455,Barney's Great Adventure (1998),1826
13322401,"Big One, The (1997)",1827
13327162,Chinese Box (1997),1829
13331936,Follow the Bitch (1996),1830
13336128,Lost in Space (1998),1831
13337162,Heaven's Burning (1997),1832
13338062,Mercury Rising (1998),1833
13339368,"Spanish Prisoner, The (1997)",1834
13342021,City of Angels (1998),1835
13343438,"Last Days of Disco, The (1998)",1836
13347164,"Odd Couple II, The (1998)",1837
13349660,My Giant (1998),1839
13353544,He Got Game (1998),1840
13355982,"Gingerbread Man, The (1998)",1841
13359469,Illtown (1996),1842
13361174,Slappy and the Stinkers (1998),1843
13362042,Live Flesh (Carne trémula) (1997),1844
13363234,Zero Effect (1998),1845
13364026,Nil By Mouth (1997),1846
13366606,"Borrowers, The (1997)",1848
13367721,Prince Valiant (1997),1849
13368619,"I Love You, Don't Touch Me! (1998)",1850
13372297,Leather Jacket Love Story (1997),1851
13373127,Love Walked In (1998),1852
13377110,"Alan Smithee Film: Burn Hollywood Burn, An (1997)",1853
13379423,Kissing a Fool (1998),1854
13381735,Krippendorf's Tribe (1998),1855
13386694,Kurt & Courtney (1998),1856
13390244,"Real Blonde, The (1997)",1857
13395014,Mr. Nice Guy (Yat goh ho yan) (1997),1858
13396238,Taste of Cherry (Ta'm e guilass) (1997),1859
13399132,Character (Karakter) (1997),1860
13400994,Junk Mail (Budbringeren) (1997),1861
13402965,Species II (1998),1862
13404838,Major League: Back to the Minors (1998),1863
13406483,Sour Grapes (1998),1864
13407647,Wild Man Blues (1997),1865
13409696,"Big Hit, The (1998)",1866
13410234,Tarzan and the Lost City (1998),1867
13410330,Black Dog (1998),1869
13421879,"Dancer, Texas Pop. 81 (1998)",1870
13429560,"Friend of the Deceased, A (Priyatel pokonika) (1997)",1871
13439872,Go Now (1995),1872
13443462,"Misérables, Les (1998)",1873
13448486,Still Breathing (1997),1874
13456833,Clockwatchers (1997),1875
13462433,Deep Impact (1998),1876
13462754,Little Men (1998),1877
13465148,Woo (1998),1878
13468624,"Hanging Garden, The (1997)",1879
13469695,Lawn Dogs (1997),1880
13471379,Quest for Camelot (1998),1881
13474106,Godzilla (1998),1882
13476257,Bulworth (1998),1883
13480911,Fear and Loathing in Las Vegas (1998),1884
13482236,"Opposite of Sex, The (1998)",1885
13483474,I Got the Hook Up (1998),1886
13489850,Almost Heroes (1998),1887
13492505,Hope Floats (1998),1888
13497934,Insomnia (1997),1889
13501112,Little Boy Blue (1997),1890
13504304,"Ugly, The (1997)",1891
13507267,"Perfect Murder, A (1998)",1892
13513482,Beyond Silence (Jenseits der Stille) (1996),1893
13521263,Six Days Seven Nights (1998),1894
13528713,Can't Hardly Wait (1998),1895
13536131,Cousin Bette (1998),1896
13542592,High Art (1998),1897
13544884,"Land Girls, The (1998)",1898
13551182,Passion in the Desert (1998),1899
13551904,"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",1900
13553863,Dear Jesse (1997),1901
13556962,Dream for an Insomniac (1996),1902
13559440,Hav Plenty (1997),1903
13568823,Henry Fool (1997),1904
13577308,Marie from the Bay of Angels (Marie Baie Des Anges) (1997),1905
13580345,Mr. Jealousy (1997),1906
13582909,Mulan (1998),1907
13585274,Resurrection Man (1998),1908
13588604,"X-Files: Fight the Future, The (1998)",1909
13595871,I Went Down (1997),1910
13606335,Dr. Dolittle (1998),1911
13607600,Out of Sight (1998),1912
13608607,Picnic at Hanging Rock (1975),1913
13622042,Smoke Signals (1998),1914
13629937,Voyage to the Beginning of the World (Viagem ao Princípio do Mundo) (1997),1915
13630734,Buffalo '66 (a.k.a. Buffalo 66) (1998),1916
13634853,Armageddon (1998),1917
13635041,Lethal Weapon 4 (1998),1918
13636095,Madeline (1998),1919
13642302,Small Soldiers (1998),1920
13642386,Pi (1998),1921
13643732,Whatever (1998),1922
13649156,There's Something About Mary (1998),1923
13650117,Plan 9 from Outer Space (1959),1924
13665598,Wings (1927),1925
13666570,"Broadway Melody, The (1929)",1926
13667340,All Quiet on the Western Front (1930),1927
13670262,Cimarron (1931),1928
13676030,Grand Hotel (1932),1929
13676595,Cavalcade (1933),1930
13680968,Mutiny on the Bounty (1935),1931
13685994,"Great Ziegfeld, The (1936)",1932
13686883,"Life of Emile Zola, The (1937)",1933
13693376,You Can't Take It with You (1938),1934
13693982,How Green Was My Valley (1941),1935
13694736,Mrs. Miniver (1942),1936
13702148,Going My Way (1944),1937
13708001,"Lost Weekend, The (1945)",1938
13708818,"Best Years of Our Lives, The (1946)",1939
13710061,Gentleman's Agreement (1947),1940
13712144,Hamlet (1948),1941
13724455,All the King's Men (1949),1942
13731333,"Greatest Show on Earth, The (1952)",1943
13732576,From Here to Eternity (1953),1944
13733109,On the Waterfront (1954),1945
13734302,Marty (1955),1946
13738144,West Side Story (1961),1947
13740699,Tom Jones (1963),1948
13744757,"Man for All Seasons, A (1966)",1949
13746444,In the Heat of the Night (1967),1950
13757242,Oliver! (1968),1951
13758557,Midnight Cowboy (1969),1952
13759359,"French Connection, The (1971)",1953
13764304,Rocky (1976),1954
13767260,Kramer vs. Kramer (1979),1955
13769232,Ordinary People (1980),1956
13771481,Chariots of Fire (1981),1957
13776714,Terms of Endearment (1983),1958
13787727,Out of Africa (1985),1959
13791035,"Last Emperor, The (1987)",1960
13796052,Rain Man (1988),1961
13798872,Driving Miss Daisy (1989),1962
13801109,Take the Money and Run (1969),1963
13802692,Klute (1971),1964
13802864,Repo Man (1984),1965
13803475,Metropolitan (1990),1966
13804890,Labyrinth (1986),1967
13806166,"Breakfast Club, The (1985)",1968
13809408,"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)",1969
13815376,"Nightmare on Elm Street 3: Dream Warriors, A (1987)",1970
13815938,"Nightmare on Elm Street 4: The Dream Master, A (1988)",1971
13816874,"Nightmare on Elm Street 5: The Dream Child, A (1989)",1972
13819216,"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)",1973
13820270,Friday the 13th (1980),1974
13821011,Friday the 13th Part 2 (1981),1975
13822908,Friday the 13th Part 3: 3D (1982),1976
13827851,Friday the 13th Part IV: The Final Chapter (1984),1977
13830281,Friday the 13th Part V: A New Beginning (1985),1978
13834999,Friday the 13th Part VI: Jason Lives (1986),1979
13839231,Friday the 13th Part VII: The New Blood (1988),1980
13841608,Friday the 13th Part VIII: Jason Takes Manhattan (1989),1981
13845401,Halloween (1978),1982
13852273,Halloween II (1981),1983
13862881,Halloween III: Season of the Witch (1982),1984
13864467,Halloween 4: The Return of Michael Myers (1988),1985
13869088,Halloween 5: The Revenge of Michael Myers (1989),1986
13871724,Prom Night (1980),1987
13874877,Hello Mary Lou: Prom Night II (1987),1988
13875668,Prom Night III: The Last Kiss (1989),1989
13881019,Prom Night IV: Deliver Us From Evil (1992),1990
13885500,Child's Play (1988),1991
13886927,Child's Play 2 (1990),1992
13890582,Child's Play 3 (1991),1993
13899414,Poltergeist (1982),1994
13901465,Poltergeist II: The Other Side (1986),1995
13904221,Poltergeist III (1988),1996
13906935,"Exorcist, The (1973)",1997
13909945,Exorcist II: The Heretic (1977),1998
13913697,"Exorcist III, The (1990)",1999
13918798,Lethal Weapon (1987),2000
13930942,Lethal Weapon 2 (1989),2001
13933722,Lethal Weapon 3 (1992),2002
13941624,Gremlins (1984),2003
13947979,Gremlins 2: The New Batch (1990),2004
13958007,"Goonies, The (1985)",2005
13961883,"Mask of Zorro, The (1998)",2006
13965690,Polish Wedding (1998),2007
13968417,"This World, Then the Fireworks (1997)",2008
13970318,Soylent Green (1973),2009
13971642,Metropolis (1927),2010
13973765,Back to the Future Part II (1989),2011
13974362,Back to the Future Part III (1990),2012
13975597,"Poseidon Adventure, The (1972)",2013
13979858,Freaky Friday (1977),2014
13981268,"Absent-Minded Professor, The (1961)",2015
13981910,"Apple Dumpling Gang Rides Again, The (1979)",2016
13983620,Babes in Toyland (1961),2017
13997714,Bambi (1942),2018
14006702,Seven Samurai (Shichinin no samurai) (1954),2019
14016657,Dangerous Liaisons (1988),2020
14028268,Dune (1984),2021
14032223,"Last Temptation of Christ, The (1988)",2022
14035377,"Godfather: Part III, The (1990)",2023
14044483,"Rapture, The (1991)",2024
14051093,Lolita (1997),2025
14052451,Disturbing Behavior (1998),2026
14058633,Jane Austen's Mafia! (1998),2027
14059054,Saving Private Ryan (1998),2028
14059847,Billy's Hollywood Screen Kiss (1997),2029
14060450,East Palace West Palace (Dong gong xi gong) (1997),2030
14060968,"Million Dollar Duck, The (a.k.a. $1,000,000 Duck) (1971)",2031
14063614,"Barefoot Executive, The (1971)",2032
14074961,"Black Cauldron, The (1985)",2033
14075377,"Black Hole, The (1979)",2034
14076364,Blackbeard's Ghost (1968),2035
14076639,Blank Check (1994),2036
14076771,Candleshoe (1977),2037
14077332,"Cat from Outer Space, The (1978)",2038
14082158,Cheetah (1989),2039
14087312,"Computer Wore Tennis Shoes, The (1969)",2040
14088065,Condorman (1981),2041
14088376,D2: The Mighty Ducks (1994),2042
14088847,Darby O'Gill and the Little People (1959),2043
14091649,"Devil and Max Devlin, The (1981)",2044
14094537,"Far Off Place, A (1993)",2045
14097862,Flight of the Navigator (1986),2046
14100261,"Gnome-Mobile, The (1967)",2047
14102867,"Great Mouse Detective, The (1986)",2048
14103572,"Happiest Millionaire, The (1967)",2049
14104168,Herbie Goes Bananas (1980),2050
14104638,Herbie Goes to Monte Carlo (1977),2051
14106724,Hocus Pocus (1993),2052
14108716,"Honey, I Blew Up the Kid (1992)",2053
14112234,"Honey, I Shrunk the Kids (1989)",2054
14116739,Hot Lead and Cold Feet (1978),2055
14118402,In Search of the Castaways (1962),2056
14119829,"Incredible Journey, The (1963)",2057
14122192,"Negotiator, The (1998)",2058
14128129,"Parent Trap, The (1998)",2059
14129167,BASEketball (1998),2060
14130731,Full Tilt Boogie (1997),2061
14134160,"Governess, The (1998)",2062
14136261,"Seventh Heaven (Septième ciel, Le) (1997)",2063
14137503,Roger & Me (1989),2064
14139396,"Purple Rose of Cairo, The (1985)",2065
14141229,Out of the Past (1947),2066
14143088,Doctor Zhivago (1965),2067
14144515,Fanny and Alexander (Fanny och Alexander) (1982),2068
14145726,"Trip to Bountiful, The (1985)",2069
14147851,Tender Mercies (1983),2070
14151406,And the Band Played On (1993),2071
14155719,"'burbs, The (1989)",2072
14160555,Fandango (1985),2073
14165305,"Night Porter, The (Portiere di notte, Il) (1974)",2074
14165530,Mephisto (1981),2075
14168082,Blue Velvet (1986),2076
14172112,"Journey of Natty Gann, The (1985)",2077
14179396,"Jungle Book, The (1967)",2078
14186072,Kidnapped (1960),2079
14187192,Lady and the Tramp (1955),2080
14190719,"Little Mermaid, The (1989)",2081
14195240,"Mighty Ducks, The (1992)",2082
14202436,"Muppet Christmas Carol, The (1992)",2083
14204097,Newsies (1992),2084
14205585,101 Dalmatians (One Hundred and One Dalmatians) (1961),2085
14210241,One Magic Christmas (1985),2086
14218267,Peter Pan (1953),2087
14222572,Popeye (1980),2088
14236595,"Rescuers Down Under, The (1990)",2089
14241943,"Rescuers, The (1977)",2090
14247113,Return from Witch Mountain (1978),2091
14252683,"Return of Jafar, The (1994)",2092
14259922,Return to Oz (1985),2093
14261257,"Rocketeer, The (1991)",2094
14264871,"Shaggy D.A., The (1976)",2095
14267317,Sleeping Beauty (1959),2096
14280036,Something Wicked This Way Comes (1983),2097
14280271,Son of Flubber (1963),2098
14283720,Song of the South (1946),2099
14293174,Splash (1984),2100
14294370,Squanto: A Warrior's Tale (1994),2101
14296362,Steamboat Willie (1928),2102
14297246,Tall Tale (1995),2103
14299976,Tex (1982),2104
14300386,Tron (1982),2105
14303528,Swing Kids (1993),2106
14308676,Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),2107
14321517,L.A. Story (1991),2108
14324000,"Jerk, The (1979)",2109
14333144,Dead Men Don't Wear Plaid (1982),2110
14337034,"Man with Two Brains, The (1983)",2111
14345035,Grand Canyon (1991),2112
14348574,Graveyard Shift (Stephen King's Graveyard Shift) (1990),2113
14355524,"Outsiders, The (1983)",2114
14357744,Indiana Jones and the Temple of Doom (1984),2115
14361427,"Lord of the Rings, The (1978)",2116
14367166,1984 (Nineteen Eighty-Four) (1984),2117
14368520,"Dead Zone, The (1983)",2118
14373767,Maximum Overdrive (1986),2119
14375032,Needful Things (1993),2120
14381014,Cujo (1983),2121
14384885,Children of the Corn (1984),2122
14388068,All Dogs Go to Heaven (1989),2123
14388794,"Addams Family, The (1991)",2124
14393483,Ever After: A Cinderella Story (1998),2125
14394709,Snake Eyes (1998),2126
14394956,"First Love, Last Rites (1997)",2127
14395275,Safe Men (1998),2128
14396366,"Saltmen of Tibet, The (Salzmänner von Tibet, Die) (1997)",2129
14398794,Atlantic City (1980),2130
14399189,Autumn Sonata (Höstsonaten) (1978),2131
14401815,Who's Afraid of Virginia Woolf? (1966),2132
14402274,Adventures in Babysitting (1987),2133
14403912,Weird Science (1985),2134
14404040,Doctor Dolittle (1967),2135
14404771,"Nutty Professor, The (1963)",2136
14405303,Charlotte's Web (1973),2137
14406753,Watership Down (1978),2138
14406973,"Secret of NIMH, The (1982)",2139
14407178,"Dark Crystal, The (1982)",2140
14407429,"American Tail, An (1986)",2141
14407542,"American Tail: Fievel Goes West, An (1991)",2142
14407972,Legend (1985),2143
14408325,Sixteen Candles (1984),2144
14410126,Pretty in Pink (1986),2145
14415420,St. Elmo's Fire (1985),2146
14417482,"Clan of the Cave Bear, The (1986)",2147
14417737,House (1986),2148
14423036,House II: The Second Story (1987),2149
14428661,"Gods Must Be Crazy, The (1980)",2150
14430398,"Gods Must Be Crazy II, The (1989)",2151
14430533,Air Bud: Golden Receiver (1998),2152
14434214,"Avengers, The (1998)",2153
14434700,How Stella Got Her Groove Back (1998),2154
14439336,"Slums of Beverly Hills, The (1998)",2155
14442396,"Best Man, The (Testimone dello sposo, Il) (1998)",2156
14449455,"Chambermaid on the Titanic, The (Femme de chambre du Titanic, La) (1998)",2157
14455097,"Henry: Portrait of a Serial Killer, Part 2 (1998)",2158
14456286,Henry: Portrait of a Serial Killer (1986),2159
14458986,Rosemary's Baby (1968),2160
14460040,"NeverEnding Story, The (1984)",2161
14464328,"NeverEnding Story II: The Next Chapter, The (1990)",2162
14472394,Attack of the Killer Tomatoes! (1978),2163
14475490,Surf Nazis Must Die (1987),2164
14478135,Your Friends and Neighbors (1998),2165
14481388,Return to Paradise (1998),2166
14487944,Blade (1998),2167
14495094,Dance with Me (1998),2168
14495444,Dead Man on Campus (1998),2169
14495715,Wrongfully Accused (1998),2170
14497636,Next Stop Wonderland (1998),2171
14497723,"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",2172
14497876,"Navigator: A Mediaeval Odyssey, The (1988)",2173
14498187,Beetlejuice (1988),2174
14500339,Déjà Vu (1997),2175
14500963,Rope (1948),2176
14503363,Family Plot (1976),2177
14504836,Frenzy (1972),2178
14505262,Topaz (1969),2179
14506496,Torn Curtain (1966),2180
14509522,Marnie (1964),2181
14509722,"Wrong Man, The (1956)",2182
14512780,"Man Who Knew Too Much, The (1956)",2183
14517492,"Trouble with Harry, The (1955)",2184
14519346,I Confess (1953),2185
14520029,Strangers on a Train (1951),2186
14524550,Stage Fright (1950),2187
14524856,54 (1998),2188
14525359,I Married A Strange Person! (1997),2189
14525429,Why Do Fools Fall In Love? (1998),2190
14526365,"Merry War, A (1997)",2191
14528107,See the Sea (1997),2192
14536678,Willow (1988),2193
14540603,"Untouchables, The (1987)",2194
14541731,Dirty Work (1998),2195
14544814,Knock Off (1998),2196
14545711,Firelight (1997),2197
14545945,Modulations (1998),2198
14548335,Phoenix (1998),2199
14548697,Under Capricorn (1949),2200
14550317,"Paradine Case, The (1947)",2201
14550763,Lifeboat (1944),2202
14550782,Shadow of a Doubt (1943),2203
14552754,Saboteur (1942),2204
14553524,Mr. & Mrs. Smith (1941),2205
14555244,Suspicion (1941),2206
14555589,Jamaica Inn (1939),2207
14555860,"Lady Vanishes, The (1938)",2208
14556930,Young and Innocent (1937),2209
14564182,Sabotage (1936),2210
14569652,Secret Agent (1936),2211
14573102,"Man Who Knew Too Much, The (1934)",2212
14574985,Waltzes from Vienna (1933),2213
14576594,Number Seventeen (a.k.a. Number 17) (1932),2214
14579730,Rich and Strange (1931),2215
14580578,"Skin Game, The (1931)",2216
14585857,Elstree Calling (1930),2217
14588913,Juno and the Paycock (1930),2218
14595064,Murder! (1930),2219
14599924,"Manxman, The (1929)",2220
14600557,Blackmail (1929),2221
14602999,Champagne (1928),2222
14604614,"Farmer's Wife, The (1928)",2223
14606636,Downhill (1927),2224
14612064,Easy Virtue (1928),2225
14617103,"Ring, The (1927)",2226
14621028,"Lodger: A Story of the London Fog, The (1927)",2227
14622876,"Pleasure Garden, The (1925)",2229
14624566,Always Tell Your Wife (1914),2230
14626510,Rounders (1998),2231
14630479,Cube (1997),2232
14633427,Digging to China (1998),2233
14640526,Let's Talk About Sex (1998),2234
14651876,One Man's Hero (1999),2235
14654041,Simon Birch (1998),2236
14654438,Without Limits (1998),2237
14656567,Seven Beauties (Pasqualino Settebellezze) (1976),2238
14658158,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),2239
14662659,My Bodyguard (1980),2240
14664928,Class (1983),2241
14666576,"Grandview, U.S.A. (1984)",2242
14667345,Broadcast News (1987),2243
14673278,"Allnighter, The (1987)",2244
14674886,Working Girl (1988),2245
14678338,Stars and Bars (1988),2246
14684119,Married to the Mob (1988),2247
14687696,Say Anything... (1989),2248
14689814,My Blue Heaven (1990),2249
14695140,Men Don't Leave (1990),2250
14696033,"Cabinet of Dr. Ramirez, The (1991)",2251
14696780,Hero (1992),2252
14699342,Toys (1992),2253
14701966,Choices (1981),2254
14703859,Young Doctors in Love (1982),2255
14707708,Parasite (1982),2256
14709408,No Small Affair (1984),2257
14715265,"Master, The (1984)",2258
14716015,Blame It on Rio (1984),2259
14718432,Wisdom (1986),2260
14719035,One Crazy Summer (1986),2261
14722484,About Last Night... (1986),2262
14726854,"Seventh Sign, The (1988)",2263
14731870,We're No Angels (1989),2264
14734184,Nothing But Trouble (1991),2265
14735858,"Butcher's Wife, The (1991)",2266
14737484,Mortal Thoughts (1991),2267
14738544,"Few Good Men, A (1992)",2268
14740830,Indecent Proposal (1993),2269
14742315,"Century of Cinema, A (1994)",2270
14743422,Permanent Midnight (1998),2271
14754622,One True Thing (1998),2272
14757134,Rush Hour (1998),2273
14758294,Lilian's Story (1995),2274
14758469,Six-String Samurai (1998),2275
14765840,"Soldier's Daughter Never Cries, A (1998)",2276
14767226,Somewhere in the City (1998),2277
14770446,Ronin (1998),2278
14773008,Urban Legend (1998),2279
14777650,Clay Pigeons (1998),2280
14778773,Monument Ave. (1998),2281
14779427,Pecker (1998),2282
14781230,"Sheltering Sky, The (1990)",2283
14782110,Bandit Queen (1994),2284
14783719,If.... (1968),2285
14784200,"Fiendish Plot of Dr. Fu Manchu, The (1980)",2286
14785611,Them! (1954),2287
14787024,"Thing, The (1982)",2288
14787621,"Player, The (1992)",2289
14789297,Stardust Memories (1980),2290
14790860,Edward Scissorhands (1990),2291
14794322,Overnight Delivery (1998),2292
14797695,Shadrach (1998),2293
14799987,Antz (1998),2294
14802142,"Impostors, The (1998)",2295
14803530,"Night at the Roxbury, A (1998)",2296
14805412,What Dreams May Come (1998),2297
14809830,Strangeland (1998),2298
14810197,"Battle of the Sexes, The (1959)",2299
14810505,"Producers, The (1968)",2300
14814246,History of the World: Part I (1981),2301
14815119,My Cousin Vinny (1992),2302
14820555,Nashville (1975),2303
14821191,Love Is the Devil (1998),2304
14824985,Slam (1998),2305
14828349,Holy Man (1998),2306
14830415,One Tough Cop (1998),2307
14831916,Detroit 9000 (1973),2308
14832583,"Inheritors, The (Siebtelbauern, Die) (1998)",2309
14833210,"Mighty, The (1998)",2310
14833820,2010: The Year We Make Contact (1984),2311
14837983,Children of a Lesser God (1986),2312
14838267,"Elephant Man, The (1980)",2313
14839396,Beloved (1998),2314
14840858,Bride of Chucky (Child's Play 4) (1998),2315
14848095,Practical Magic (1998),2316
14861851,"Alarmist, The (a.k.a. Life During Wartime) (1997)",2317
14862111,Happiness (1998),2318
14865149,Reach the Rock (1998),2319
14867456,Apt Pupil (1998),2320
14868528,Pleasantville (1998),2321
14872812,Soldier (1998),2322
14874861,"Cruise, The (1998)",2323
14875488,Life Is Beautiful (La Vita è bella) (1997),2324
14876561,Orgazmo (1997),2325
14885039,Shattered Image (1998),2326
14886721,Tales from the Darkside: The Movie (1990),2327
14888342,Vampires (1998),2328
14890404,American History X (1998),2329
14894409,Hands on a Hard Body (1996),2330
14899301,Living Out Loud (1998),2331
14899986,Belly (1998),2332
14900798,Gods and Monsters (1998),2333
14902819,"Siege, The (1998)",2334
14903286,"Waterboy, The (1998)",2335
14905669,Elizabeth (1998),2336
14910962,Velvet Goldmine (1998),2337
14912432,I Still Know What You Did Last Summer (1998),2338
14914180,I'll Be Home For Christmas (1998),2339
14916912,Meet Joe Black (1998),2340
14921320,Dancing at Lughnasa (1998),2341
14922541,Hard Core Logo (1996),2342
14927024,"Naked Man, The (1998)",2343
14930301,Runaway Train (1985),2344
14931667,Desert Bloom (1986),2345
14932432,"Stepford Wives, The (1975)",2346
14933782,"Pope of Greenwich Village, The (1984)",2347
14938535,Sid and Nancy (1986),2348
14941289,Mona Lisa (1986),2349
14942442,Heart Condition (1990),2350
14949487,"Nights of Cabiria (Notti di Cabiria, Le) (1957)",2351
14951164,"Big Chill, The (1983)",2352
14952233,Enemy of the State (1998),2353
14954203,"Rugrats Movie, The (1998)",2354
14954792,"Bug's Life, A (1998)",2355
14954990,Celebrity (1998),2356
14956126,Central Station (Central do Brasil) (1998),2357
14956717,Savior (1998),2358
14959318,Waking Ned Devine (a.k.a. Waking Ned) (1998),2359
14964524,"Celebration, The (Festen) (1998)",2360
14965528,Pink Flamingos (1972),2361
14969075,Glen or Glenda (1953),2362
14971967,Godzilla (Gojira) (1954),2363
14974655,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",2364
14975550,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),2365
14979729,King Kong (1933),2366
14984409,King Kong (1976),2367
14985806,King Kong Lives (1986),2368
14990859,Desperately Seeking Susan (1985),2369
14993130,"Emerald Forest, The (1985)",2370
14994472,Fletch (1985),2371
14995253,Fletch Lives (1989),2372
14996731,Red Sonja (1985),2373
14997549,Gung Ho (1986),2374
14998654,"Money Pit, The (1986)",2375
15000211,"View to a Kill, A (1985)",2376
15004334,Lifeforce (1985),2377
15009333,Police Academy (1984),2378
15012668,Police Academy 2: Their First Assignment (1985),2379
15013349,Police Academy 3: Back in Training (1986),2380
15014560,Police Academy 4: Citizens on Patrol (1987),2381
15018917,Police Academy 5: Assignment: Miami Beach (1988),2382
15020907,Police Academy 6: City Under Siege (1989),2383
15025534,Babe: Pig in the City (1998),2384
15026321,Home Fries (1998),2385
15030197,Jerry Springer: Ringmaster (1998),2386
15032031,Very Bad Things (1998),2387
15040431,Steam: The Turkish Bath (Hamam) (1997),2388
15043059,Psycho (1998),2389
15046366,Little Voice (1998),2390
15050508,"Simple Plan, A (1998)",2391
15056646,Jack Frost (1998),2392
15059935,Star Trek: Insurrection (1998),2393
